"arc_length","Figure 17","Figure 18","Figure 19"
0.0798,0.658404,0.0983272,0.574103
0.0801,0.65792,0.0981143,0.573827
0.0804,0.65741,0.0979022,0.573543
0.0807,0.6569,0.0976902,0.57326
0.081,0.656389,0.0974782,0.572977
0.0813,0.655879,0.0972662,0.572694
0.0816,0.655369,0.0970542,0.572411
0.0819,0.654859,0.0968422,0.572127
0.0822,0.654349,0.0966302,0.571844
0.0825,0.653838,0.0964182,0.571561
0.0828,0.653328,0.0962062,0.571278
0.0831,0.652818,0.0959942,0.570994
0.0834,0.652308,0.0957822,0.570711
0.0837,0.651798,0.0955702,0.570428
0.084,0.651288,0.0953582,0.570145
0.0843,0.650777,0.0951462,0.569862
0.0846,0.650267,0.0949342,0.569578
0.0849,0.649757,0.0947221,0.569295
0.0852,0.649221,0.0945117,0.569006
0.0855,0.648673,0.0943019,0.568715
0.0858,0.648125,0.0940922,0.568423
0.0861,0.647577,0.0938825,0.568131
0.0864,0.647029,0.0936728,0.567839
0.0867,0.64648,0.0934631,0.567548
0.087,0.645932,0.0932533,0.567256
0.0873,0.645384,0.0930436,0.566964
0.0876,0.644836,0.0928339,0.566673
0.0879,0.644287,0.0926242,0.566381
0.0882,0.643739,0.0924145,0.566089
0.0885,0.643191,0.0922047,0.565798
0.0888,0.642643,0.091995,0.565506
0.0891,0.642094,0.0917853,0.565214
0.0894,0.641546,0.0915756,0.564922
0.0897,0.640998,0.0913658,0.564631
0.09,0.64045,0.0911561,0.564339
0.0903,0.639865,0.0909497,0.56404
0.0906,0.63928,0.0907433,0.563741
0.0909,0.638696,0.0905368,0.563441
0.0912,0.638111,0.0903304,0.563142
0.0915,0.637527,0.090124,0.562843
0.0918,0.636942,0.0899175,0.562544
0.0921,0.636357,0.0897111,0.562245
0.0924,0.635773,0.0895046,0.561946
0.0927,0.635188,0.0892982,0.561646
0.093,0.634604,0.0890918,0.561347
0.0933,0.634019,0.0888853,0.561048
0.0936,0.633434,0.0886789,0.560749
0.0939,0.63285,0.0884725,0.56045
0.0942,0.632265,0.088266,0.560151
0.0945,0.63168,0.0880596,0.559851
0.0948,0.631096,0.0878532,0.559552
0.0951,0.6305,0.0876482,0.559251
0.0954,0.629881,0.0874461,0.558945
0.0957,0.629263,0.087244,0.558639
0.096,0.628645,0.087042,0.558334
0.0963,0.628026,0.0868399,0.558028
0.0966,0.627408,0.0866378,0.557722
0.0969,0.626789,0.0864357,0.557416
0.0972,0.626171,0.0862336,0.557111
0.0975,0.625553,0.0860316,0.556805
0.0978,0.624934,0.0858295,0.556499
0.0981,0.624316,0.0856274,0.556193
0.0984,0.623697,0.0854253,0.555888
0.0987,0.623079,0.0852233,0.555582
0.099,0.622461,0.0850212,0.555276
0.0993,0.621842,0.0848191,0.55497
0.0996,0.621224,0.084617,0.554665
0.0999,0.620605,0.0844149,0.554359
0.1002,0.619967,0.0842165,0.554049
0.1005,0.619318,0.0840199,0.553738
0.1008,0.618669,0.0838233,0.553427
0.1011,0.618021,0.0836267,0.553115
0.1014,0.617372,0.0834301,0.552804
0.1017,0.616723,0.0832335,0.552492
0.102,0.616074,0.0830368,0.552181
0.1023,0.615426,0.0828402,0.551869
0.1026,0.614777,0.0826436,0.551558
0.1029,0.614128,0.082447,0.551246
0.1032,0.61348,0.0822504,0.550935
0.1035,0.612831,0.0820538,0.550624
0.1038,0.612182,0.0818572,0.550312
0.1041,0.611533,0.0816606,0.550001
0.1044,0.610885,0.081464,0.549689
0.1047,0.610236,0.0812674,0.549378
0.105,0.609587,0.0810707,0.549066
0.1053,0.608912,0.0808807,0.54875
0.1056,0.608237,0.0806907,0.548434
0.1059,0.607562,0.0805006,0.548118
0.1062,0.606887,0.0803106,0.547801
0.1065,0.606212,0.0801206,0.547485
0.1068,0.605537,0.0799305,0.547169
0.1071,0.604862,0.0797405,0.546852
0.1074,0.604187,0.0795504,0.546536
0.1077,0.603512,0.0793604,0.54622
0.108,0.602837,0.0791704,0.545904
